entrez_id,PredictionScore
26575,0.454
58499,0.453
151613,0.453
220965,0.453
114788,0.453
55740,0.453
8295,0.453
9910,0.453
27327,0.453
55102,0.452
114882,0.452
132204,0.452
26049,0.452
60468,0.452
23429,0.451
4139,0.451
22906,0.451
91404,0.451
57680,0.45
10142,0.45
23229,0.45
26052,0.449
1656,0.449
10098,0.449
57148,0.449
140890,0.448
200933,0.448
23057,0.447
5067,0.447
55531,0.447
51696,0.447
30837,0.447
51201,0.446
8567,0.446
57584,0.445
89797,0.445
23266,0.445
9969,0.445
80267,0.445
55591,0.445
64919,0.445
50863,0.445
55186,0.444
221981,0.444
57586,0.444
5927,0.444
55500,0.444
9760,0.444
24147,0.444
10277,0.444
115294,0.443
57187,0.443
23248,0.443
64839,0.442
10194,0.442
10645,0.442
776,0.442
79893,0.442
54790,0.442
9832,0.442
7881,0.441
9203,0.441
55691,0.441
1119,0.441
27067,0.441
2560,0.441
339479,0.44
55800,0.44
1501,0.44
10927,0.44
6857,0.439
50618,0.439
7799,0.439
152485,0.439
196528,0.438
285527,0.438
84669,0.438
23236,0.438
150864,0.438
7220,0.438
64848,0.437
84961,0.437
1745,0.436
57468,0.436
200734,0.436
81849,0.436
221692,0.435
51422,0.435
6654,0.435
6506,0.435
7874,0.435
79692,0.435
3781,0.435
4983,0.435
134548,0.434
11122,0.434
23774,0.434
23318,0.434
7707,0.434
6096,0.434
23263,0.433
8470,0.433
4884,0.433
10565,0.433
26054,0.433
2104,0.433
3745,0.432
26059,0.431
4750,0.431
26130,0.431
2913,0.43
23414,0.43
2556,0.43
338811,0.43
80728,0.43
401474,0.43
23576,0.43
147381,0.43
79673,0.429
29967,0.429
220988,0.429
4897,0.429
84502,0.429
744,0.429
56899,0.428
23326,0.428
23074,0.428
285175,0.428
64854,0.428
1850,0.428
23041,0.428
9371,0.428
79982,0.427
9874,0.427
26050,0.427
96459,0.427
9771,0.427
253260,0.427
23215,0.427
23158,0.427
222553,0.426
80055,0.426
51317,0.425
6310,0.425
154661,0.425
25924,0.425
51592,0.425
5218,0.424
25820,0.423
114800,0.423
5793,0.423
151556,0.423
357,0.423
5922,0.422
23317,0.422
22866,0.422
84108,0.421
2045,0.421
57611,0.421
84196,0.421
64881,0.42
8476,0.42
8289,0.42
10250,0.42
23043,0.42
6433,0.42
65059,0.419
1268,0.419
636,0.419
22838,0.419
113263,0.419
8618,0.418
84553,0.418
4008,0.418
153364,0.418
10048,0.418
114786,0.418
151987,0.418
114781,0.418
81831,0.417
285172,0.417
54454,0.417
116443,0.417
10129,0.417
10243,0.417
3785,0.417
8445,0.417
57690,0.416
8874,0.416
91584,0.416
6477,0.416
5150,0.415
1463,0.415
2894,0.415
1007,0.415
113201,0.415
121665,0.415
9353,0.415
57616,0.414
63908,0.414
1944,0.414
6601,0.414
23054,0.414
9229,0.414
41,0.414
6092,0.414
9162,0.414
9315,0.414
26057,0.413
56475,0.413
55084,0.413
29915,0.413
9256,0.413
1387,0.413
7552,0.413
23512,0.413
23314,0.412
1185,0.412
4212,0.411
57144,0.411
2932,0.411
23321,0.411
9917,0.411
8239,0.41
11052,0.41
284611,0.41
23299,0.41
473,0.41
50804,0.41
55799,0.41
27086,0.41
23767,0.409
10580,0.409
23032,0.409
84456,0.409
64101,0.409
55605,0.409
22902,0.408
5063,0.408
54874,0.408
149420,0.408
56965,0.408
55773,0.407
54799,0.407
785,0.407
9331,0.407
57118,0.407
166336,0.407
257068,0.406
56934,0.406
64062,0.406
8507,0.406
9666,0.406
253559,0.406
9205,0.405
23064,0.405
57492,0.405
8976,0.405
9397,0.405
144165,0.405
4297,0.405
1949,0.405
80309,0.405
320,0.404
9958,0.404
4644,0.404
774,0.404
83259,0.404
83851,0.404
6785,0.404
57084,0.404
5087,0.403
57700,0.403
51735,0.403
57613,0.403
8936,0.403
1778,0.403
2803,0.403
7357,0.403
8065,0.403
23528,0.403
57181,0.402
9821,0.402
90161,0.402
57670,0.402
23161,0.401
80124,0.401
23362,0.401
57709,0.401
23469,0.4
6547,0.4
6421,0.4
5128,0.4
6863,0.4
7155,0.4
9915,0.4
23380,0.399
5451,0.399
2909,0.399
57795,0.399
23026,0.399
23768,0.399
10409,0.399
1612,0.399
9899,0.399
7528,0.398
112755,0.398
6721,0.398
2044,0.398
6526,0.398
4685,0.398
55068,0.398
1112,0.397
4850,0.397
10497,0.397
23350,0.396
22848,0.396
23392,0.396
23312,0.396
58512,0.395
283450,0.395
10725,0.395
57182,0.395
386618,0.395
55689,0.395
8028,0.395
8672,0.395
57532,0.394
1837,0.394
3747,0.394
4135,0.394
253782,0.394
23524,0.393
122060,0.393
79718,0.393
7222,0.393
79811,0.392
9360,0.392
131034,0.392
59338,0.392
5563,0.391
29953,0.391
29994,0.391
27087,0.391
54464,0.391
5099,0.39
55638,0.39
23287,0.39
9665,0.39
51559,0.39
7158,0.39
116154,0.389
54928,0.389
8526,0.389
9980,0.389
23353,0.388
60680,0.388
9678,0.388
7813,0.388
3760,0.388
121536,0.388
80031,0.388
27012,0.387
23013,0.386
135295,0.386
57495,0.386
79869,0.385
6249,0.385
7468,0.385
9839,0.385
8411,0.385
